#44.05522887990648  -91.63620963509061 189 Distance 125.5km
# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-11-29 18:42:31 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05378500 MISSISSIPPI RIVER AT WINONA, MN
# -----------------------------------------------------------------------------------
#
# Data provided for site 05378500
#            TS   parameter     statistic     Description
#         73676       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	73676_00060_00003	73676_00060_00003_cd
USGS	05378500	1928-08-11	20300	A
USGS	05378500	1928-08-12	20300	A
USGS	05378500	1928-08-13	19900	A
USGS	05378500	1928-08-14	19500	A
USGS	05378500	1928-08-15	18700	A
USGS	05378500	1928-08-16	18300	A
USGS	05378500	1928-08-17	18300	A
USGS	05378500	1928-08-18	17900	A
USGS	05378500	1928-08-19	17500	A
USGS	05378500	1928-08-20	17500	A
USGS	05378500	1928-08-21	18700	A
USGS	05378500	1928-08-22	19500	A
USGS	05378500	1928-08-23	20800	A
USGS	05378500	1928-08-24	24000	A
USGS	05378500	1928-08-25	24500	A
USGS	05378500	1928-08-26	24500	A
USGS	05378500	1928-08-27	24500	A
USGS	05378500	1928-08-28	24000	A
USGS	05378500	1928-08-29	22900	A
USGS	05378500	1928-08-30	23400	A
USGS	05378500	1928-08-31	22900	A
USGS	05378500	1928-09-01	22400	A
USGS	05378500	1928-09-02	22400	A
USGS	05378500	1928-09-03	22400	A
USGS	05378500	1928-09-04	22400	A
USGS	05378500	1928-09-05	21800	A
USGS	05378500	1928-09-06	20800	A
USGS	05378500	1928-09-07	20800	A
USGS	05378500	1928-09-08	20800	A
USGS	05378500	1928-09-09	21300	A
USGS	05378500	1928-09-10	21800	A
USGS	05378500	1928-09-11	23400	A
USGS	05378500	1928-09-12	24000	A
USGS	05378500	1928-09-13	24000	A
USGS	05378500	1928-09-14	24000	A
USGS	05378500	1928-09-15	25100	A
USGS	05378500	1928-09-16	26700	A
USGS	05378500	1928-09-17	29000	A
USGS	05378500	1928-09-18	30800	A
USGS	05378500	1928-09-19	33200	A
USGS	05378500	1928-09-20	34400	A
USGS	05378500	1928-09-21	36300	A
USGS	05378500	1928-09-22	37700	A
USGS	05378500	1928-09-23	37700	A
USGS	05378500	1928-09-24	37700	A
USGS	05378500	1928-09-25	37000	A
USGS	05378500	1928-09-26	35700	A
USGS	05378500	1928-09-27	34400	A
USGS	05378500	1928-09-28	33200	A
USGS	05378500	1928-09-29	32000	A
USGS	05378500	1928-09-30	31400	A
USGS	05378500	1928-10-01	30200	A
USGS	05378500	1928-10-02	30200	A
USGS	05378500	1928-10-03	29000	A
USGS	05378500	1928-10-04	28400	A
USGS	05378500	1928-10-05	27800	A
USGS	05378500	1928-10-06	27300	A
USGS	05378500	1928-10-07	26200	A
USGS	05378500	1928-10-08	25600	A
USGS	05378500	1928-10-09	25100	A
USGS	05378500	1928-10-10	24500	A
USGS	05378500	1928-10-11	23400	A
USGS	05378500	1928-10-12	24000	A
USGS	05378500	1928-10-13	24000	A
USGS	05378500	1928-10-14	24000	A
USGS	05378500	1928-10-15	24500	A
USGS	05378500	1928-10-16	25600	A
USGS	05378500	1928-10-17	26200	A
USGS	05378500	1928-10-18	26200	A
USGS	05378500	1928-10-19	26700	A
USGS	05378500	1928-10-20	27800	A
USGS	05378500	1928-10-21	29600	A
USGS	05378500	1928-10-22	32000	A
USGS	05378500	1928-10-23	34400	A
USGS	05378500	1928-10-24	35700	A
USGS	05378500	1928-10-25	37000	A
USGS	05378500	1928-10-26	38400	A
USGS	05378500	1928-10-27	39100	A
USGS	05378500	1928-10-28	39100	A
USGS	05378500	1928-10-29	39100	A
USGS	05378500	1928-10-30	38400	A
USGS	05378500	1928-10-31	37000	A
USGS	05378500	1928-11-01	35700	A
USGS	05378500	1928-11-02	34400	A
USGS	05378500	1928-11-03	33200	A
USGS	05378500	1928-11-04	32600	A
USGS	05378500	1928-11-05	31400	A
USGS	05378500	1928-11-06	29600	A
USGS	05378500	1928-11-07	29000	A
USGS	05378500	1928-11-08	27800	A
USGS	05378500	1928-11-09	27300	A
USGS	05378500	1928-11-10	26200	A
USGS	05378500	1928-11-11	25600	A
USGS	05378500	1928-11-12	25100	A
USGS	05378500	1928-11-13	24000	A
USGS	05378500	1928-11-14	22900	A
USGS	05378500	1928-11-15	21800	A
USGS	05378500	1928-11-16	22400	A
USGS	05378500	1928-11-17	22400	A
USGS	05378500	1928-11-18	21800	A
USGS	05378500	1928-11-19	21300	A
USGS	05378500	1928-11-20	21300	A
USGS	05378500	1928-11-21	20800	A
USGS	05378500	1928-11-22	20800	A
USGS	05378500	1928-11-23	20800	A
USGS	05378500	1928-11-24	20300	A
USGS	05378500	1928-11-25	20300	A
USGS	05378500	1928-11-26	20300	A
USGS	05378500	1928-11-27	19900	A
USGS	05378500	1928-11-28	19500	A
USGS	05378500	1928-11-29	19100	A
USGS	05378500	1928-11-30	18700	A
USGS	05378500	1928-12-01	18300	A
USGS	05378500	1928-12-02	17900	A
USGS	05378500	1928-12-03	17500	A
USGS	05378500	1928-12-04	17500	A
USGS	05378500	1928-12-05	17100	A
USGS	05378500	1928-12-06	16500	A
USGS	05378500	1928-12-07	16200	A
USGS	05378500	1928-12-08	15900	A
USGS	05378500	1928-12-09	15600	A
USGS	05378500	1928-12-10	15900	A
USGS	05378500	1928-12-11	15600	A
USGS	05378500	1928-12-12	15600	A
USGS	05378500	1928-12-13	15600	A
USGS	05378500	1928-12-14	14700	A
USGS	05378500	1928-12-15	14700	A
USGS	05378500	1928-12-16	14700	A
USGS	05378500	1928-12-17	15300	A
USGS	05378500	1928-12-18	15600	A
USGS	05378500	1928-12-19	15300	A
USGS	05378500	1928-12-20	15000	A
USGS	05378500	1928-12-21	15900	A
USGS	05378500	1928-12-22	15300	A
USGS	05378500	1928-12-23	15600	A
USGS	05378500	1928-12-24	15600	A
USGS	05378500	1928-12-25	16200	A
USGS	05378500	1928-12-26	16800	A
USGS	05378500	1928-12-27	17500	A
USGS	05378500	1928-12-28	17100	A
USGS	05378500	1928-12-29	16200	A
USGS	05378500	1928-12-30	16500	A
USGS	05378500	1928-12-31	17900	A
USGS	05378500	1929-01-01	17900	A
USGS	05378500	1929-01-02	15600	A
USGS	05378500	1929-01-03	15100	A
USGS	05378500	1929-01-04	15100	A
USGS	05378500	1929-01-05	15100	A
USGS	05378500	1929-01-06	15100	A
USGS	05378500	1929-01-07	15100	A
USGS	05378500	1929-01-08	15100	A
USGS	05378500	1929-01-09	15100	A
USGS	05378500	1929-01-10	14900	A
USGS	05378500	1929-01-11	14900	A
USGS	05378500	1929-01-12	14900	A
USGS	05378500	1929-01-13	14900	A
USGS	05378500	1929-01-14	14900	A
USGS	05378500	1929-01-15	14900	A
USGS	05378500	1929-01-16	14900	A
USGS	05378500	1929-01-17	14600	A
USGS	05378500	1929-01-18	14600	A
USGS	05378500	1929-01-19	14600	A
USGS	05378500	1929-01-20	14600	A
USGS	05378500	1929-01-21	14600	A
USGS	05378500	1929-01-22	14600	A
USGS	05378500	1929-01-23	14600	A
USGS	05378500	1929-01-24	14600	A
USGS	05378500	1929-01-25	14600	A
USGS	05378500	1929-01-26	14600	A
USGS	05378500	1929-01-27	14600	A
USGS	05378500	1929-01-28	14900	A
USGS	05378500	1929-01-29	15100	A
USGS	05378500	1929-01-30	15100	A
USGS	05378500	1929-01-31	15100	A
USGS	05378500	1929-02-01	14600	A
USGS	05378500	1929-02-02	14600	A
USGS	05378500	1929-02-03	14600	A
USGS	05378500	1929-02-04	14600	A
USGS	05378500	1929-02-05	14600	A
USGS	05378500	1929-02-06	14900	A
USGS	05378500	1929-02-07	14900	A
USGS	05378500	1929-02-08	14600	A
USGS	05378500	1929-02-09	14400	A
USGS	05378500	1929-02-10	14400	A
USGS	05378500	1929-02-11	14200	A
USGS	05378500	1929-02-12	14200	A
USGS	05378500	1929-02-13	14200	A
USGS	05378500	1929-02-14	14200	A
USGS	05378500	1929-02-15	14200	A
USGS	05378500	1929-02-16	14200	A
USGS	05378500	1929-02-17	14200	A
USGS	05378500	1929-02-18	14400	A
USGS	05378500	1929-02-19	14200	A
USGS	05378500	1929-02-20	14000	A
USGS	05378500	1929-02-21	13900	A
USGS	05378500	1929-02-22	13900	A
USGS	05378500	1929-02-23	13900	A
USGS	05378500	1929-02-24	14000	A
USGS	05378500	1929-02-25	14200	A
USGS	05378500	1929-02-26	14200	A
USGS	05378500	1929-02-27	14400	A
USGS	05378500	1929-02-28	14400	A
USGS	05378500	1929-03-01	14400	A
USGS	05378500	1929-03-02	14600	A
USGS	05378500	1929-03-03	14600	A
USGS	05378500	1929-03-04	14600	A
USGS	05378500	1929-03-05	14600	A
USGS	05378500	1929-03-06	14600	A
USGS	05378500	1929-03-07	14400	A
USGS	05378500	1929-03-08	14400	A
USGS	05378500	1929-03-09	14600	A
USGS	05378500	1929-03-10	14600	A
USGS	05378500	1929-03-11	15100	A
USGS	05378500	1929-03-12	15600	A
USGS	05378500	1929-03-13	16800	A
USGS	05378500	1929-03-14	19100	A
USGS	05378500	1929-03-15	24000	A
USGS	05378500	1929-03-16	30800	A
USGS	05378500	1929-03-17	42600	A
USGS	05378500	1929-03-18	57700	A
USGS	05378500	1929-03-19	60000	A
USGS	05378500	1929-03-20	61600	A
USGS	05378500	1929-03-21	59200	A
USGS	05378500	1929-03-22	59200	A
USGS	05378500	1929-03-23	64000	A
USGS	05378500	1929-03-24	69700	A
USGS	05378500	1929-03-25	73900	A
USGS	05378500	1929-03-26	75600	A
USGS	05378500	1929-03-27	75600	A
USGS	05378500	1929-03-28	75600	A
USGS	05378500	1929-03-29	74700	A
USGS	05378500	1929-03-30	73900	A
USGS	05378500	1929-03-31	73900	A
USGS	05378500	1929-04-01	75600	A
USGS	05378500	1929-04-02	77400	A
USGS	05378500	1929-04-03	78300	A
USGS	05378500	1929-04-04	78300	A
USGS	05378500	1929-04-05	76500	A
USGS	05378500	1929-04-06	73900	A
USGS	05378500	1929-04-07	73000	A
USGS	05378500	1929-04-08	72200	A
USGS	05378500	1929-04-09	71400	A
USGS	05378500	1929-04-10	71400	A
USGS	05378500	1929-04-11	72200	A
USGS	05378500	1929-04-12	73000	A
USGS	05378500	1929-04-13	72200	A
USGS	05378500	1929-04-14	68900	A
USGS	05378500	1929-04-15	65600	A
USGS	05378500	1929-04-16	62400	A
USGS	05378500	1929-04-17	60000	A
USGS	05378500	1929-04-18	58400	A
USGS	05378500	1929-04-19	57700	A
USGS	05378500	1929-04-20	56100	A
USGS	05378500	1929-04-21	55300	A
USGS	05378500	1929-04-22	54500	A
USGS	05378500	1929-04-23	53000	A
USGS	05378500	1929-04-24	51500	A
USGS	05378500	1929-04-25	52200	A
USGS	05378500	1929-04-26	50700	A
USGS	05378500	1929-04-27	50000	A
USGS	05378500	1929-04-28	50000	A
USGS	05378500	1929-04-29	49200	A
USGS	05378500	1929-04-30	46900	A
USGS	05378500	1929-05-01	44700	A
USGS	05378500	1929-05-02	42600	A
USGS	05378500	1929-05-03	41900	A
USGS	05378500	1929-05-04	40500	A
USGS	05378500	1929-05-05	39800	A
USGS	05378500	1929-05-06	39100	A
USGS	05378500	1929-05-07	37000	A
USGS	05378500	1929-05-08	35700	A
USGS	05378500	1929-05-09	34400	A
USGS	05378500	1929-05-10	33200	A
USGS	05378500	1929-05-11	32000	A
USGS	05378500	1929-05-12	31400	A
USGS	05378500	1929-05-13	31400	A
USGS	05378500	1929-05-14	29600	A
USGS	05378500	1929-05-15	28400	A
USGS	05378500	1929-05-16	27800	A
USGS	05378500	1929-05-17	27300	A
USGS	05378500	1929-05-18	26200	A
USGS	05378500	1929-05-19	26200	A
USGS	05378500	1929-05-20	25600	A
USGS	05378500	1929-05-21	25100	A
USGS	05378500	1929-05-22	24000	A
USGS	05378500	1929-05-23	24500	A
USGS	05378500	1929-05-24	24000	A
USGS	05378500	1929-05-25	23400	A
USGS	05378500	1929-05-26	22900	A
USGS	05378500	1929-05-27	22900	A
USGS	05378500	1929-05-28	22400	A
USGS	05378500	1929-05-29	21800	A
USGS	05378500	1929-05-30	22400	A
USGS	05378500	1929-05-31	22400	A
USGS	05378500	1929-06-01	22400	A
USGS	05378500	1929-06-02	21300	A
USGS	05378500	1929-06-03	20800	A
USGS	05378500	1929-06-04	20800	A
USGS	05378500	1929-06-05	20300	A
USGS	05378500	1929-06-06	20300	A
USGS	05378500	1929-06-07	20300	A
USGS	05378500	1929-06-08	20300	A
USGS	05378500	1929-06-09	19900	A
USGS	05378500	1929-06-10	19500	A
USGS	05378500	1929-06-11	19900	A
USGS	05378500	1929-06-12	22900	A
USGS	05378500	1929-06-13	28400	A
USGS	05378500	1929-06-14	27300	A
USGS	05378500	1929-06-15	25100	A
USGS	05378500	1929-06-16	22900	A
USGS	05378500	1929-06-17	21800	A
USGS	05378500	1929-06-18	20800	A
USGS	05378500	1929-06-19	19900	A
USGS	05378500	1929-06-20	19500	A
USGS	05378500	1929-06-21	19100	A
USGS	05378500	1929-06-22	18700	A
USGS	05378500	1929-06-23	18300	A
USGS	05378500	1929-06-24	17900	A
USGS	05378500	1929-06-25	17500	A
USGS	05378500	1929-06-26	16800	A
USGS	05378500	1929-06-27	16800	A
USGS	05378500	1929-06-28	16800	A
USGS	05378500	1929-06-29	16800	A
USGS	05378500	1929-06-30	16800	A
USGS	05378500	1929-07-01	17100	A
USGS	05378500	1929-07-02	17900	A
USGS	05378500	1929-07-03	18700	A
USGS	05378500	1929-07-04	19500	A
USGS	05378500	1929-07-05	19900	A
USGS	05378500	1929-07-06	19900	A
USGS	05378500	1929-07-07	19500	A
USGS	05378500	1929-07-08	19500	A
USGS	05378500	1929-07-09	19500	A
USGS	05378500	1929-07-10	19100	A
USGS	05378500	1929-07-11	18700	A
USGS	05378500	1929-07-12	18700	A
USGS	05378500	1929-07-13	18700	A
USGS	05378500	1929-07-14	18700	A
USGS	05378500	1929-07-15	18300	A
USGS	05378500	1929-07-16	17900	A
USGS	05378500	1929-07-17	17500	A
USGS	05378500	1929-07-18	17500	A
USGS	05378500	1929-07-19	17500	A
USGS	05378500	1929-07-20	17500	A
USGS	05378500	1929-07-21	17100	A
USGS	05378500	1929-07-22	16800	A
USGS	05378500	1929-07-23	16800	A
USGS	05378500	1929-07-24	16800	A
USGS	05378500	1929-07-25	16500	A
USGS	05378500	1929-07-26	16500	A
USGS	05378500	1929-07-27	16200	A
USGS	05378500	1929-07-28	16200	A
USGS	05378500	1929-07-29	15600	A
USGS	05378500	1929-07-30	15300	A
USGS	05378500	1929-07-31	14700	A
USGS	05378500	1929-08-01	14400	A
USGS	05378500	1929-08-02	14400	A
USGS	05378500	1929-08-03	13900	A
USGS	05378500	1929-08-04	13900	A
USGS	05378500	1929-08-05	13600	A
USGS	05378500	1929-08-06	13300	A
USGS	05378500	1929-08-07	13300	A
USGS	05378500	1929-08-08	13300	A
USGS	05378500	1929-08-09	13300	A
USGS	05378500	1929-08-10	13300	A
USGS	05378500	1929-08-11	13300	A
USGS	05378500	1929-08-12	13600	A
USGS	05378500	1929-08-13	13900	A
USGS	05378500	1929-08-14	13600	A
USGS	05378500	1929-08-15	13600	A
USGS	05378500	1929-08-16	13300	A
USGS	05378500	1929-08-17	13300	A
USGS	05378500	1929-08-18	13600	A
USGS	05378500	1929-08-19	13600	A
USGS	05378500	1929-08-20	13300	A
USGS	05378500	1929-08-21	13300	A
USGS	05378500	1929-08-22	13300	A
USGS	05378500	1929-08-23	13300	A
USGS	05378500	1929-08-24	13300	A
USGS	05378500	1929-08-25	13300	A
USGS	05378500	1929-08-26	13300	A
USGS	05378500	1929-08-27	13000	A
USGS	05378500	1929-08-28	12800	A
USGS	05378500	1929-08-29	12800	A
USGS	05378500	1929-08-30	12600	A
USGS	05378500	1929-08-31	12400	A
USGS	05378500	1929-09-01	12400	A
USGS	05378500	1929-09-02	12400	A
USGS	05378500	1929-09-03	12100	A
USGS	05378500	1929-09-04	11900	A
USGS	05378500	1929-09-05	11900	A
USGS	05378500	1929-09-06	11900	A
USGS	05378500	1929-09-07	11900	A
USGS	05378500	1929-09-08	11700	A
USGS	05378500	1929-09-09	11900	A
USGS	05378500	1929-09-10	12100	A
USGS	05378500	1929-09-11	12100	A
USGS	05378500	1929-09-12	11900	A
USGS	05378500	1929-09-13	12100	A
USGS	05378500	1929-09-14	12400	A
USGS	05378500	1929-09-15	12400	A
USGS	05378500	1929-09-16	12400	A
USGS	05378500	1929-09-17	12400	A
USGS	05378500	1929-09-18	12400	A
USGS	05378500	1929-09-19	12100	A
USGS	05378500	1929-09-20	12100	A
USGS	05378500	1929-09-21	12100	A
USGS	05378500	1929-09-22	11900	A
USGS	05378500	1929-09-23	11900	A
USGS	05378500	1929-09-24	12100	A
USGS	05378500	1929-09-25	12100	A
USGS	05378500	1929-09-26	12400	A
USGS	05378500	1929-09-27	12600	A
USGS	05378500	1929-09-28	12800	A
USGS	05378500	1929-09-29	13300	A
USGS	05378500	1929-09-30	13300	A
USGS	05378500	1929-10-01	13500	A
USGS	05378500	1929-10-02	13500	A
USGS	05378500	1929-10-03	13500	A
USGS	05378500	1929-10-04	13500	A
USGS	05378500	1929-10-05	13500	A
USGS	05378500	1929-10-06	13500	A
USGS	05378500	1929-10-07	13500	A
USGS	05378500	1929-10-08	13200	A
USGS	05378500	1929-10-09	13200	A
USGS	05378500	1929-10-10	12900	A
USGS	05378500	1929-10-11	12900	A
USGS	05378500	1929-10-12	13200	A
USGS	05378500	1929-10-13	13500	A
USGS	05378500	1929-10-14	13500	A
USGS	05378500	1929-10-15	13500	A
USGS	05378500	1929-10-16	13500	A
USGS	05378500	1929-10-17	13500	A
USGS	05378500	1929-10-18	13500	A
USGS	05378500	1929-10-19	13200	A
USGS	05378500	1929-10-20	13500	A
USGS	05378500	1929-10-21	13500	A
USGS	05378500	1929-10-22	13500	A
USGS	05378500	1929-10-23	13500	A
USGS	05378500	1929-10-24	13500	A
USGS	05378500	1929-10-25	13500	A
USGS	05378500	1929-10-26	13500	A
USGS	05378500	1929-10-27	13500	A
USGS	05378500	1929-10-28	13500	A
USGS	05378500	1929-10-29	13500	A
USGS	05378500	1929-10-30	13200	A
USGS	05378500	1929-10-31	13200	A
USGS	05378500	1929-11-01	13500	A
USGS	05378500	1929-11-02	13500	A
USGS	05378500	1929-11-03	13500	A
USGS	05378500	1929-11-04	13200	A
USGS	05378500	1929-11-05	13200	A
USGS	05378500	1929-11-06	13200	A
USGS	05378500	1929-11-07	13200	A
USGS	05378500	1929-11-08	13200	A
USGS	05378500	1929-11-09	13500	A
USGS	05378500	1929-11-10	13800	A
USGS	05378500	1929-11-11	13800	A
USGS	05378500	1929-11-12	14100	A
USGS	05378500	1929-11-13	14400	A
USGS	05378500	1929-11-14	14400	A
USGS	05378500	1929-11-15	14400	A
USGS	05378500	1929-11-16	14400	A
USGS	05378500	1929-11-17	14400	A
USGS	05378500	1929-11-18	14100	A
USGS	05378500	1929-11-19	13800	A
USGS	05378500	1929-11-20	13800	A
USGS	05378500	1929-11-21	13500	A
USGS	05378500	1929-11-22	13200	A
USGS	05378500	1929-11-23	12700	A
USGS	05378500	1929-11-24	12400	A
USGS	05378500	1929-11-25	12400	A
USGS	05378500	1929-11-26	12200	A
USGS	05378500	1929-11-27	11400	A
USGS	05378500	1929-11-28	10800	A
USGS	05378500	1929-11-29	10600	A
USGS	05378500	1929-11-30	10600	A
USGS	05378500	1929-12-01	9320	A
USGS	05378500	1929-12-02	10200	A
USGS	05378500	1929-12-03	10000	A
USGS	05378500	1929-12-04	10000	A
USGS	05378500	1929-12-05	10000	A
USGS	05378500	1929-12-06	10200	A
USGS	05378500	1929-12-07	10200	A
USGS	05378500	1929-12-08	10200	A
USGS	05378500	1929-12-09	10200	A
USGS	05378500	1929-12-10	10200	A
USGS	05378500	1929-12-11	10200	A
USGS	05378500	1929-12-12	10200	A
USGS	05378500	1929-12-13	10000	A
USGS	05378500	1929-12-14	10000	A
USGS	05378500	1929-12-15	10000	A
USGS	05378500	1929-12-16	10000	A
USGS	05378500	1929-12-17	10000	A
USGS	05378500	1929-12-18	10000	A
USGS	05378500	1929-12-19	10400	A
USGS	05378500	1929-12-20	10000	A
USGS	05378500	1929-12-21	9640	A
USGS	05378500	1929-12-22	9820	A
USGS	05378500	1929-12-23	10000	A
USGS	05378500	1929-12-24	10000	A
USGS	05378500	1929-12-25	10400	A
USGS	05378500	1929-12-26	10400	A
USGS	05378500	1929-12-27	10400	A
USGS	05378500	1929-12-28	10800	A
USGS	05378500	1929-12-29	10800	A
USGS	05378500	1929-12-30	10800	A
USGS	05378500	1929-12-31	10800	A
USGS	05378500	1930-01-01	10800	A
USGS	05378500	1930-01-02	11000	A
USGS	05378500	1930-01-03	11200	A
USGS	05378500	1930-01-04	10400	A
USGS	05378500	1930-01-05	10400	A
USGS	05378500	1930-01-06	10800	A
USGS	05378500	1930-01-07	9640	A
USGS	05378500	1930-01-08	9160	A
USGS	05378500	1930-01-09	9480	A
USGS	05378500	1930-01-10	9480	A
USGS	05378500	1930-01-11	9480	A
USGS	05378500	1930-01-12	9480	A
USGS	05378500	1930-01-13	9640	A
USGS	05378500	1930-01-14	9640	A
USGS	05378500	1930-01-15	9820	A
USGS	05378500	1930-01-16	9640	A
USGS	05378500	1930-01-17	9480	A
USGS	05378500	1930-01-18	9000	A
USGS	05378500	1930-01-19	9480	A
USGS	05378500	1930-01-20	9640	A
USGS	05378500	1930-01-21	9640	A
USGS	05378500	1930-01-22	9640	A
USGS	05378500	1930-01-23	9640	A
USGS	05378500	1930-01-24	9640	A
USGS	05378500	1930-01-25	9640	A
USGS	05378500	1930-01-26	9640	A
USGS	05378500	1930-01-27	9640	A
USGS	05378500	1930-01-28	9480	A
USGS	05378500	1930-01-29	9480	A
USGS	05378500	1930-01-30	9480	A
USGS	05378500	1930-01-31	9320	A
USGS	05378500	1930-02-01	9320	A
USGS	05378500	1930-02-02	9320	A
USGS	05378500	1930-02-03	9320	A
USGS	05378500	1930-02-04	9320	A
USGS	05378500	1930-02-05	9640	A
USGS	05378500	1930-02-06	9480	A
USGS	05378500	1930-02-07	9480	A
USGS	05378500	1930-02-08	9480	A
USGS	05378500	1930-02-09	9320	A
USGS	05378500	1930-02-10	9160	A
USGS	05378500	1930-02-11	9320	A
USGS	05378500	1930-02-12	9640	A
USGS	05378500	1930-02-13	9320	A
USGS	05378500	1930-02-14	8400	A
USGS	05378500	1930-02-15	8400	A
USGS	05378500	1930-02-16	8700	A
USGS	05378500	1930-02-17	9160	A
USGS	05378500	1930-02-18	9640	A
USGS	05378500	1930-02-19	10400	A
USGS	05378500	1930-02-20	11400	A
USGS	05378500	1930-02-21	14400	A
USGS	05378500	1930-02-22	19000	A
USGS	05378500	1930-02-23	24000	A
USGS	05378500	1930-02-24	16300	A
USGS	05378500	1930-02-25	16600	A
USGS	05378500	1930-02-26	17500	A
USGS	05378500	1930-02-27	20100	A
USGS	05378500	1930-02-28	22100	A
USGS	05378500	1930-03-01	23900	A
USGS	05378500	1930-03-02	25400	A
USGS	05378500	1930-03-03	26900	A
USGS	05378500	1930-03-04	26900	A
USGS	05378500	1930-03-05	25900	A
USGS	05378500	1930-03-06	25400	A
USGS	05378500	1930-03-07	25400	A
USGS	05378500	1930-03-08	25400	A
USGS	05378500	1930-03-09	24900	A
USGS	05378500	1930-03-10	23900	A
USGS	05378500	1930-03-11	23400	A
USGS	05378500	1930-03-12	22500	A
USGS	05378500	1930-03-13	21700	A
USGS	05378500	1930-03-14	21700	A
USGS	05378500	1930-03-15	21300	A
USGS	05378500	1930-03-16	21300	A
USGS	05378500	1930-03-17	22100	A
USGS	05378500	1930-03-18	22100	A
USGS	05378500	1930-03-19	21700	A
USGS	05378500	1930-03-20	21700	A
USGS	05378500	1930-03-21	21700	A
USGS	05378500	1930-03-22	22100	A
USGS	05378500	1930-03-23	22500	A
USGS	05378500	1930-03-24	22900	A
USGS	05378500	1930-03-25	23400	A
USGS	05378500	1930-03-26	22500	A
USGS	05378500	1930-03-27	22500	A
USGS	05378500	1930-03-28	21700	A
USGS	05378500	1930-03-29	20900	A
USGS	05378500	1930-03-30	19700	A
USGS	05378500	1930-03-31	19300	A
USGS	05378500	1930-04-01	18900	A
USGS	05378500	1930-04-02	18100	A
USGS	05378500	1930-04-03	17500	A
